team,place,record,win_pct,games_back,moves
Marcus Bakke's Team,1,"(11, 7, 2)",60.0,0.0,0
Soggy Dingers,2,"(12, 8, 0)",60.0,0.0,6
Luke's Legit Team,3,"(11, 8, 1)",57.49999999999999,0.5,0
Chuck Nazty,4,"(10, 8, 2)",55.00000000000001,1.0,6
Curt's American Made,5,"(10, 8, 2)",55.00000000000001,1.0,0
Death By Smalls,6,"(9, 11, 0)",45.0,3.0,0
Mookie and the Betts,7,"(7, 11, 2)",40.0,4.0,0
Lone Star Tallboys,8,"(5, 14, 1)",27.500000000000004,6.5,3
