team,place,record,win_pct,games_back,moves
Curt's American Made,1,"(18, 10, 2)",63.3,0.0,0
Marcus Bakke's Team,2,"(16, 12, 2)",56.699999999999996,2.0,1
Soggy Dingers,3,"(17, 13, 0)",56.699999999999996,2.0,6
Mookie and the Betts,4,"(15, 13, 2)",53.300000000000004,3.0,0
Luke's Legit Team,5,"(13, 14, 3)",48.3,4.5,0
Chuck Nazty,6,"(12, 16, 2)",43.3,6.0,10
Lone Star Tallboys,7,"(11, 16, 3)",41.699999999999996,6.5,9
Death By Smalls,8,"(11, 19, 0)",36.7,8.0,1
